"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.218","44.94","45.662","44.9044","44.1468","43.3892","42.6316","41.874","41.6992","41.5244","41.3496","41.1748","41","40.9598","40.9196","40.8794","40.8392","40.799","42.2192","43.6394","45.0596","46.4798","47.9","51.448","54.996","58.544","62.092","65.64","68.5254","71.4108","74.2962","77.1816","80.067","74.032","67.997","61.962","55.927","49.892","46.3922","42.8924","39.3926","35.8928","32.393","31.4714","30.5498","29.6282","28.7066","27.785","27.1964","26.6078","26.0192","25.4306","24.842","24.1716","23.5012","22.8308","22.1604","21.49","20.886","20.282","19.678","",
"American Samoa","ASM","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","179.913","178.27","176.627","174.1624","171.6978","169.2332","166.7686","164.304","158.2248","152.1456","146.0664","139.9872","133.908","127.7816","121.6552","115.5288","109.4024","103.276","102.3696","101.4632","100.5568","99.6504","98.744","95.6568","92.5696","89.4824","86.3952","83.308","81.0046","78.7012","76.3978","74.0944","71.791","70.5096","69.2282","67.9468","66.6654","65.384","64.2476","63.1112","61.9748","60.8384","59.702","57.9936","56.2852","54.5768","52.8684","51.16","50.328","49.496","48.664","47.832","47","46.1564","45.3128","44.4692","43.6256","42.782","41.831","40.88","39.929","",
"Australia","AUS","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","44.8286","45.0668","45.305","45.9764","46.6478","47.3192","47.9906","48.662","48.6296","48.5972","48.5648","48.5324","48.5","45.1672","41.8344","38.5016","35.1688","31.836","30.687","29.538","28.389","27.24","26.091","25.0928","24.0946","23.0964","22.0982","21.1","21.055","21.01","20.965","20.92","20.875","20.5906","20.3062","20.0218","19.7374","19.453","18.9462","18.4394","17.9326","17.4258","16.919","16.9552","16.9914","17.0276","17.0638","17.1","16.1404","15.1808","14.2212","13.2616","12.302","12.1846","12.0672","11.9498","11.8324","11.715","11.3258","10.9366","10.5474","",
"Austria","AUT","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","48.3914","50.8922","53.393","54.8498","56.3066","57.7634","59.2202","60.677","59.5646","58.4522","57.3398","56.2274","55.115","51.7388","48.3626","44.9864","41.6102","38.234","36.6126","34.9912","33.3698","31.7484","30.127","28.3784","26.6298","24.8812","23.1326","21.384","21.185","20.986","20.787","20.588","20.389","19.269","18.149","17.029","15.909","14.789","14.5004","14.2118","13.9232","13.6346","13.346","12.9022","12.4584","12.0146","11.5708","11.127","10.5944","10.0618","9.5292","8.9966","8.464","8.2392","8.0144","7.7896","7.5648","7.34","7.0444","6.7488","6.4532","",
"Azerbaijan","AZE","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","45.4712","44.9296","44.388","45.185","45.982","46.779","47.576","48.373","44.9196","41.4662","38.0128","34.5594","31.106","28.7776","26.4492","24.1208","21.7924","19.464","19.4256","19.3872","19.3488","19.3104","19.272","20.5542","21.8364","23.1186","24.4008","25.683","28.0528","30.4226","32.7924","35.1622","37.532","38.492","39.452","40.412","41.372","42.332","40.3902","38.4484","36.5066","34.5648","32.623","33.7954","34.9678","36.1402","37.3126","38.485","40.636","42.787","44.938","47.089","49.24","50.5596","51.8792","53.1988","54.5184","55.838","56.4976","57.1572","57.8168","",
"Burundi","BDI","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","91.1948","91.4224","91.65","91.8288","92.0076","92.1864","92.3652","92.544","92.3304","92.1168","91.9032","91.6896","91.476","91.2368","90.9976","90.7584","90.5192","90.28","89.6408","89.0016","88.3624","87.7232","87.084","86.0792","85.0744","84.0696","83.0648","82.06","82.601","83.142","83.683","84.224","84.765","83.604","82.443","81.282","80.121","78.96","78.062","77.164","76.266","75.368","74.47","72.6116","70.7532","68.8948","67.0364","65.178","64.2804","63.3828","62.4852","61.5876","60.69","59.67","58.65","57.63","56.61","55.59","54.7516","53.9132","53.0748","",
"Belgium","BEL","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","27.1146","28.2988","29.483","29.719","29.955","30.191","30.427","30.663","30.799","30.935","31.071","31.207","31.343","29.926","28.509","27.092","25.675","24.258","22.6378","21.0176","19.3974","17.7772","16.157","15.2026","14.2482","13.2938","12.3394","11.385","11.2718","11.1586","11.0454","10.9322","10.819","10.6906","10.5622","10.4338","10.3054","10.177","10.3316","10.4862","10.6408","10.7954","10.95","10.766","10.582","10.398","10.214","10.03","9.2298","8.4296","7.6294","6.8292","6.029","5.7534","5.4778","5.2022","4.9266","4.651","4.5704","4.4898","4.4092","",
"Benin","BEN","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","85.7628","86.6854","87.608","88.0576","88.5072","88.9568","89.4064","89.856","90.4374","91.0188","91.6002","92.1816","92.763","94.3064","95.8498","97.3932","98.9366","100.48","102.795","105.11","107.425","109.74","112.055","114.264","116.473","118.682","120.891","123.1","123.8332","124.5664","125.2996","126.0328","126.766","125.9774","125.1888","124.4002","123.6116","122.823","121.3902","119.9574","118.5246","117.0918","115.659","114.263","112.867","111.471","110.075","108.679","106.2162","103.7534","101.2906","98.8278","96.365","94.3112","92.2574","90.2036","88.1498","86.096","84.0364","81.9768","79.9172","",
"Burkina Faso","BFA","Adolescent fertility rate (births per 1,000 women ages 15-19)","SP.ADO.TFRT","184.6466","182.8298","181.013","180","178.987","177.974","176.961","175.948","174.5826","173.2172","171.8518","170.4864","169.121","168.6388","168.1566","167.6744","167.1922","166.71","165.4536","164.1972","162.9408","161.6844","160.428","158.3778","156.3276","154.2774","152.2272","150.177","149.106","148.035","146.964","145.893","144.822","144.379","143.936","143.493","143.05","142.607","141.506","140.405","139.304","138.203","137.102","135.6118","134.1216","132.6314","131.1412","129.651","126.8024","123.9538","121.1052","118.2566","115.408","113.1922","110.9764","108.7606","106.5448","104.329","102.0658","99.8026","97.5394","",
