Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842.8,1688.9,1439.9,1859,1877.2,1365.8,1768.4,1776.5,1383,1878.7,2204.7,1567.1,2280.8,1938.7,1323.9,2592.6,2405,2250.3,2068.2,2789,2650.5,3072.5,3181.6,3132.1,3076.1,1975.1,2623.6,1690.6,2055.8,
American Samoa,ASM,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,2500,2250,2500,2250,2400,2285.7,2300,2000,2055.6,1875,1821.4,1666.7,1750,1920,1705.9,1800,1787.9,1789.5,1705.9,1900,1904.8,1920,2035.7,2142.9,2381,1833.3,1700,1666.7,1633.3,1607.1,1633.3,1633.3,1633.3,1666.7,1600,1645.2,1562.5,1571.4,1578.9,1605.3,1625,1625,1619,1571.4,1575,1600,1590.9,1600,1565.2,1595.7,1857.1,2107.1,2250,2400,3666.7,
Australia,AUS,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1083.9,1217.3,1285.2,1323.7,983.5,1441.6,830.8,1338.7,1114.9,1217.6,1269.6,933.1,1318.5,1393.6,1414,1345.5,987.5,1680.2,1510.2,1052.3,1401.5,875.6,1646.2,1609.3,1453.1,1521.9,1436,1629.4,1676.4,1716.1,1603.4,1896.6,1979.5,1266.7,1871,2129.5,1953.8,1986.3,2111,1962.3,1959.6,2197.5,1020.7,2116.4,1694.6,2111.7,981.3,1332.7,1651.4,1661.5,2097.5,2231.6,1936.1,2137.9,2027.3,2075.2,2674.2,2035.8,1768.9,1650.5,
Austria,AUT,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,2520.8,2568.4,2509.9,2621.7,2330.1,2940.6,3251,3343.1,3555.7,3192.3,3656.4,3402.6,3855.5,4070.9,3752.7,4173.9,4096.2,4394.2,3729.2,4515.6,4147.1,4778.8,4755.5,5091.4,5269.4,4824.9,4962.9,5546,5289.7,5577.3,5456.5,5152.7,5088.8,5391.7,5502,5391,5900.9,5675.3,5926.9,5403.9,5856.2,5831,5255.4,6495.5,6133.1,5721.8,5844.2,6807.3,6149.5,5903.1,7056.7,6002.9,5846.8,7046.7,6198.1,7246.4,6260.6,6145.8,6954.3,7386.4,
Azerbaijan,AZE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113.9,1617.9,1622.7,1507,1608.4,1669.4,1581.1,2080,2335.2,2600.7,2623.2,2604.1,2588.8,2593.1,2599.3,2667.4,2741.5,2606.7,2020.6,2484.4,2659.7,2692.3,2343.6,3083.6,3004.7,2940.5,3008.7,3226.7,3217.4,
Burundi,BDI,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,946.2,1010.6,919.6,991.9,983.6,975.8,997.3,1045.7,1066.6,1092.3,1110.7,1024.8,1110,973.3,1104.7,1104.8,1110.1,1234.2,1100,1063.5,1080.4,1075.4,1094,1108.9,1152.5,1213.5,1228.2,1194.3,1369,1348.5,1368.9,1391.4,1394.1,1274.8,1331.9,1386.3,1434,1275.9,1309.5,1228.2,1283.5,1308.8,1284.1,1328.1,1344.3,1277,1301.5,1280.8,1295.9,1231.9,1153.6,1106.9,1178.6,1332.8,1204.2,1483,1125.5,1323.3,1446.5,1314.3,
Belgium,BEL,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8021.4,8218.1,8500.9,8530.7,9184.9,8649.5,8373.3,8637.7,8885.8,9710,9348.1,9009,8666.3,9212.5,9435.4,9842.2,6984.8,9050.7,7983.1,8988.5,8430.9,
Benin,BEN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,546.1,489.9,503.5,529.3,551.5,531.8,577.5,573.8,556.8,577.1,532.7,555.8,687.7,707.9,739.3,724.6,754,741.1,720.9,718.3,653.8,649.5,599.9,799.1,855.8,836.2,725.1,834.7,853.7,847.9,878.6,913.4,919.2,956.9,1086.5,1009.6,1117,1055.9,1162.6,1102.1,1069.3,1131.1,1148.7,1146,1136.4,1190.5,1286,1158.7,1423.5,1200.6,1517.8,1373.2,1479.6,1460.3,1336.7,1455.9,1405.4,1428.5,1238.3,1432.8,
Burkina Faso,BFA,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,408.5,477.9,473.1,522.5,485.7,495.4,452.3,625.8,484.5,516.6,444.5,461.2,436.6,488.2,558.1,499.4,528.8,576.4,580.1,569.8,576.6,568.3,514.9,589.9,708.8,699.5,641.7,726.9,672.9,600.2,876.6,871.5,936.2,787.9,851.1,916.5,704.5,889,912.9,856.4,967.8,942.7,996.3,940.7,1127.2,1203.9,936.1,1039.9,1002,1062.7,995.1,1203,1156.5,1225.8,1168.9,1136.8,1009,1152.3,1156.1,1170.4,
